OBT:003381	fermented cheese
OBT:000088	epizoon
OBT:000111	metaphyton
OBT:000124	periphyton
OBT:000072	endopelic
OBT:000075	endopsammic
OBT:000618	endozootic
OBT:000732	metaphytic
OBT:002186	pigeon
OBT:002172	passerine bird
OBT:002448	finch
OBT:001358	trachea
OBT:001562	fossil stromatolite
OBT:000155	stromatolite
OBT:002919	oat plant
OBT:000881	snow
OBT:000681	ice
OBT:000052	atmosphere part
OBT:000233	cloud
OBT:000234	cloud water
OBT:000459	troposphere
OBT:003294	mackerel
OBT:003302	sardine
OBT:002458	frozen soil
OBT:000017	phenotype wrt environment
OBT:000840	residential toilet
OBT:001271	public toilet seat
OBT:000869	shower
OBT:001150	hotel bathroom
OBT:000421	shower aerosol
OBT:000675	hotel
OBT:000956	water droplet
OBT:000966	whirlpool bath
OBT:000953	washbasin
OBT:000910	tap
OBT:002619	swimming pool
OBT:002564	public sauna
OBT:001576	gas tank
OBT:001587	guano
OBT:000299	grassland
OBT:000314	hotel equipment
OBT:000944	valley
OBT:000991	artic valley
OBT:000415	room floor
OBT:000226	ceiling tile
OBT:000219	carpet
OBT:000539	carpet floor
OBT:000220	carpet tile
OBT:000839	residential carpet
OBT:000676	hotel carpet
OBT:001144	hip bone
OBT:003198	fjord water
OBT:000438	surgical drain
OBT:001608	knee
OBT:001196	marine rock
OBT:001580	geyser
OBT:001741	reef
OBT:003168	submarine
OBT:002709	glacier
OBT:000830	prosthetic joint
OBT:000398	prothesis
OBT:001316	silcone rubber voice prothesis
OBT:000444	syringe
OBT:000786	pacemaker
OBT:000701	laryngeal prosthetic device
OBT:000564	cochlear prosthesis
OBT:000528	bone-anchored prosthesis
OBT:000498	auricular prosthesis
OBT:000591	dental prothesis
OBT:000829	prostate
OBT:000466	wall
OBT:000225	cave
OBT:000345	metallic coin
OBT:000206	banknote
OBT:000145	public equipment
OBT:000202	automated teller machine
OBT:000682	indoor air
OBT:000781	outdoor air
OBT:002747	stormwater
OBT:003271	rainwater treatment utility
OBT:000481	airport terminal
OBT:000457	traveller luggage
OBT:002217	radish plant
OBT:002216	radish as food
OBT:000654	groin
OBT:000754	nare
OBT:001252	perirectal area
OBT:000366	oropharynx
OBT:003297	nursing home resident
OBT:003322	military service member
OBT:002885	activated carbon fiber felt
OBT:002884	activated carbon biofilter
OBT:002757	activated carbon filter
OBT:000492	antacid suspension
OBT:003573	fermented table olive
OBT:000870	shrimp hatchery
OBT:001692	paper mill sludge
OBT:002892	barley plant
OBT:000043	apiary
OBT:001884	arugula
OBT:001967	collard green
OBT:001087	empyema
OBT:003014	pleural empyema
OBT:001782	spacecraft assembly clean room
OBT:002800	ginseng plant
OBT:002779	cotton plant
OBT:001038	clean room
OBT:001685	packaging clean room
OBT:001443	bio clean room
OBT:000433	sterile clean room
OBT:001811	tannery sludge
OBT:002943	tannery wastewater
OBT:002944	textile wastewater
OBT:002979	dye textile wastewater
OBT:001817	textile dye effluent
OBT:001112	food processing appliance
OBT:001559	food slicing machine
OBT:001555	food dicing machine
OBT:001554	food blender
OBT:001093	evaporator
OBT:000164	ubiquitous
OBT:001313	ship scrapping waste
OBT:000289	freight transport equipment
OBT:000418	ship
OBT:000419	ship hull
OBT:000868	ship tank
OBT:001027	cargo oil tank
OBT:000774	oil tanker
OBT:000866	ship ballast
OBT:000867	ship ballast water
OBT:000355	naval surface ship
OBT:000162	transport equipment
OBT:000725	marine freight transport equipment
OBT:000247	cruise ship
OBT:002698	cruise ship passenger
OBT:002603	spa
OBT:002495	jacuzzi
OBT:002451	footwarm bath
OBT:002203	public bathing facility
OBT:002755	whirlpool spa
OBT:001809	swine house
OBT:000962	water vapor
OBT:001987	dairy barn
OBT:001974	cow barn
OBT:001922	calf barn
OBT:001786	stall
OBT:000605	earring hole
OBT:000434	storage equipment
OBT:001931	cantaloupe rind
OBT:001342	surface smear
OBT:001566	fruit rind
OBT:001482	cheese smear
OBT:002307	watermelon rind
OBT:002274	submarine glassy basalt
OBT:002062	glassy rind of seafloor basalt
OBT:001583	glassy rind of lava
OBT:001689	palagonite rind
OBT:003202	glassy rim of the pillow basalt
OBT:002135	mid-ocean ridge basalt
OBT:001801	submarine basalt
OBT:003554	submarine hotspring
OBT:003026	submarine hydrocarbon seep
OBT:003274	submarine thermal spring
OBT:003169	submarinegroundwater discharge
OBT:000211	bile resistant
OBT:000401	psychrophile
OBT:000449	thermophile
OBT:000343	mesophile
OBT:000319	hyperthermophile
OBT:000657	halophobe
OBT:001214	moderate halophile
OBT:001203	meso-halophile
OBT:001095	extreme halophile
OBT:000188	alkaliphile
OBT:000177	acidophile
OBT:000179	aerobe
OBT:000279	facultative anaerobe
OBT:000770	obligate anaerobe
OBT:000769	obligate aerobe
OBT:000278	facultative aerobe
OBT:000347	microaerophile
OBT:000183	aerotolerant
OBT:000130	phenotype wrt habitat temperature
OBT:000127	phenotype wrt habitat acidity
OBT:000382	phenotype wrt habitat salinity
OBT:000129	phenotype wrt habitat oxygen
OBT:000189	anaerobe
OBT:000126	phenotype wrt energy source
OBT:003282	chemoorganoheterotroph
OBT:002896	chemolithotroph
OBT:000021	phenotype wrt motility
OBT:000117	motile
OBT:000417	sessile
OBT:000029	adherent
OBT:000617	endophyte
OBT:000517	biotrophic
OBT:002827	obligate phytopathogen
OBT:000120	non motile
OBT:002806	human pathogen
OBT:002809	insect pathogen
OBT:000002	microbial phenotype
OBT:000132	phenotype wrt microbial-host interaction
OBT:000195	animal hosted
OBT:000394	plant hosted
OBT:000239	commensal
OBT:002734	plant symbiont
OBT:000375	pathogen
OBT:002669	animal pathogen
OBT:002764	animal opportunist
OBT:002668	animal commensal
OBT:000813	plant opportunist
OBT:002732	phytopathogen
OBT:002733	plant commensal
OBT:002835	plant obligate symbiont
OBT:002833	plant facultative symbiont
OBT:003125	animal symbiont
OBT:003182	animal facultative symbiont
OBT:003183	animal obligate symbiont
OBT:000276	extremely acidophilic
OBT:000499	autotroph
OBT:003281	chemo litho autotroph
OBT:000665	heterotroph
OBT:002895	chemoheterotroph
OBT:002923	photoheterotroph
OBT:003445	chemolithoheterotroph
OBT:001098	facultative chemo lithotroph
OBT:002922	photoautotroph
OBT:000218	carboxydotroph
OBT:000135	phenotype wrt pressure
OBT:000390	piezophile
OBT:000772	obligate piezophile
OBT:000391	piezosensitive
OBT:000392	piezotolerant
OBT:000555	chemotroph
OBT:000805	phototroph
OBT:000134	phenotype wrt nutrient abundance
OBT:000245	copiotrophic
OBT:000361	oligotrophic
OBT:000257	diazotroph
OBT:000635	free-living diazotroph
OBT:000906	symbiotic diazotroph
OBT:000758	natron-alkaliphilic
OBT:001035	chlorophototroph
OBT:001205	methanotroph
OBT:000734	methylotroph
OBT:001204	methanol oxidizing
OBT:000744	mixotroph
OBT:002924	photolithoautotroph
OBT:002888	alkali tolerant
OBT:000304	hemolytic
OBT:000482	alpha-hemolytic
OBT:000040	anoxygenic
OBT:000023	phenotype wrt stress
OBT:002674	antibiotic resistant
OBT:003038	arsenite oxidizing
OBT:000512	beta-hemolytic
OBT:000055	bioluminescent
OBT:002874	vancomycin resistant
OBT:002773	ciprofloxacin resistant
OBT:002820	moxifloxacin resistant
OBT:002817	meticillin resistant
OBT:002521	metal resistant
OBT:000016	phenotype wrt community behaviour
OBT:001444	biofilm forming
OBT:001664	non-biofilm forming
OBT:000380	phenotype wrt color
OBT:000762	necrotrophic
OBT:000372	parasite
OBT:000616	endoparasite
OBT:000609	ectoparasite
OBT:000001	microbial habitat
OBT:000007	experimental medium
OBT:000010	living organism
OBT:000008	food
OBT:000013	natural environment habitat
OBT:000005	aquaculture habitat
OBT:000009	habitat wrt chemico-physical property
OBT:000012	microorganism associated habitat
OBT:000026	planet
OBT:000011	medical environment
OBT:000014	part of living organism
OBT:000006	artificial environment
OBT:000004	animal husbandry and agricultural habitat
OBT:000041	antibiotic-containing media
OBT:000170	yeast extract
OBT:000109	medical product
OBT:000121	non-immune serum
OBT:000100	industrial habitat
OBT:000149	spore
OBT:000038	animal feed
OBT:000114	microorganism
OBT:000141	polluted environment
OBT:000034	agricultural product
OBT:000049	area with epidemiologic property
OBT:000115	microorganism part
OBT:000046	aquaculture pond
OBT:000102	iron-rich environment
OBT:000033	agricultural input
OBT:000062	cell culture
OBT:000030	aerosol
OBT:000168	wet environment
OBT:000160	thermal area
OBT:000113	microflora
OBT:000166	volcanic area
OBT:000094	food for human
OBT:000089	eukaryote host
OBT:000054	biofilm
OBT:000090	extreme environment
OBT:000058	bovine serum
OBT:000095	greenhouse
OBT:000140	plant habitat
OBT:000066	constructed habitat
OBT:000467	waste
OBT:000027	Earth
OBT:000035	agricultural species
OBT:000045	aquaculture farm
OBT:000112	microbial mat layer
OBT:000156	subterrestrial habitat
OBT:000158	terrestrial habitat
OBT:000028	L-( null )-tartrate enriched soil
OBT:000048	area with climate property
OBT:000097	hospital environment
OBT:000098	household good
OBT:000032	agricultural equipment
OBT:000044	aquaculture equipment
OBT:000061	cell
OBT:000079	environmental matter
OBT:000093	fish pond
OBT:000186	air
OBT:000050	artificial water environment
OBT:000003	animal habitat
OBT:000151	sterile water
OBT:000108	medical equipment
OBT:000047	aquatic environment
OBT:000039	animal part
OBT:000101	intercellular
OBT:000078	environment wrt oxygen level
OBT:000091	farm
OBT:000092	field
OBT:000067	cultivated habitat
OBT:000056	bioreactor
OBT:000103	laboratory equipment
OBT:000031	agar
OBT:000165	urea solution
OBT:000178	adipocyte
OBT:000308	high sulfur concentration environment
OBT:000312	hospital water
OBT:000338	marine environment
OBT:000256	diagnostic equipment
OBT:000323	industrial product
OBT:000412	road part
OBT:000322	industrial chemical
OBT:000432	starter culture
OBT:000244	contaminated site
OBT:000200	arthropod part
OBT:000284	flagellum
OBT:000327	inside the body
OBT:000204	back
OBT:000313	host associated biofilm
OBT:000197	anoxic environment
OBT:000362	oomycete
OBT:000246	crop
OBT:000270	exoskeleton
OBT:000437	sulfide-rich environment
OBT:000349	microorganism gas vesicle
OBT:000364	organ
OBT:000428	soil part
OBT:000059	breeding site
OBT:000464	vaccine
OBT:000824	poultry farm
OBT:000336	mariculture farm
OBT:000198	aquarium
OBT:000215	body fluid
OBT:000191	anaerobic environment
OBT:000181	aerobic environment
OBT:000348	microaerophilic environment
OBT:000281	fertilizer
OBT:000580	curtain
OBT:000280	feeder cell
OBT:000315	house
OBT:000232	city
OBT:000274	extracellular
OBT:000293	geothermal area
OBT:000237	coelomic cavity
OBT:000212	biofilm in natural environment
OBT:000175	abdomen
OBT:000224	cattle-dipping vat
OBT:000283	fish pen
OBT:000436	subtropical area
OBT:000325	industrial water and effluent
OBT:000408	respiratory tract part
OBT:000264	ear part
OBT:000463	urogenital tract part
OBT:000277	eye part
OBT:002837	probiotic feed
OBT:000442	symbiosome
OBT:000429	solfatara
OBT:000266	endolithic environment
OBT:000468	water
OBT:000427	soil
OBT:000176	acid environment
OBT:000187	alkaline environment
OBT:000307	high pressure environment
OBT:000302	haline environment
OBT:000309	high temperature environment
OBT:000238	cold temperature environment
OBT:000306	high osmolarity environment
OBT:000180	aerobic bioreactor
OBT:000190	anaerobic bioreactor
OBT:000259	ditch water
OBT:000253	deep subsurface
OBT:000376	perineum
OBT:000351	mire
OBT:000339	meal
OBT:000261	drug
OBT:000411	rhizosphere part
OBT:000301	hair
OBT:000363	operating room
OBT:000461	ultrasound gel
OBT:000448	therapeutic equipment
OBT:000290	fungi
OBT:000400	protozoa
OBT:000410	rhizosphere
OBT:000388	phyllosphere
OBT:000223	catheter
OBT:000201	artificial water structure
OBT:000389	phyllosphere part
OBT:003128	canned olive
OBT:000184	agricultural pest
OBT:000395	plant part
OBT:000356	needle
OBT:000407	respiratory tract
OBT:000450	thermophilic methanogenic bioreactor
OBT:000685	industrial waste
OBT:000670	home food processing equipment
OBT:000677	household waste
OBT:000532	building construction and demolition waste
OBT:000478	agricultural waste
OBT:000260	domestic appliance
OBT:000267	endosphere
OBT:000287	forage
OBT:000229	cereal feed
OBT:000350	mineral matter
OBT:000231	circulatory system part
OBT:000254	denitrification reactor
OBT:000241	composting reactor
OBT:000249	cyanide treatment bioreactor
OBT:000426	sludge blanket reactor
OBT:000346	methanogenic reactor
OBT:000333	lower layer of a microbial mat
OBT:000406	recreational fishing fish pond
OBT:000458	tropical zone
OBT:000445	temperate zone
OBT:000354	mushroom farm
OBT:000213	biomat
OBT:000560	clothe
OBT:000209	beak
OBT:000469	water well
OBT:000424	skin part
OBT:000324	industrial site
OBT:000334	lymphatic system part
OBT:000316	household product
OBT:000337	marine cage
OBT:000365	organic matter
OBT:000196	animal tissue
OBT:000374	pasture
OBT:000250	dairy farm equipment
OBT:000425	slough
OBT:000263	dust
OBT:000318	hydrotelluric environment
OBT:001183	livestock habitat
OBT:000185	agricultural tool
OBT:000446	terrestrial landscape
OBT:001727	poultry house
OBT:000397	prepared food
OBT:000352	monument
OBT:000358	neuston
OBT:000422	shrimp culture pond
OBT:000214	body
OBT:000328	intensive care unit
OBT:000342	medical sink
OBT:000273	extra-intestinal
OBT:000272	extra-genital
OBT:000294	germ cell
OBT:000193	animal
OBT:000393	plant
OBT:000282	finger
OBT:000119	nest
OBT:000298	granuloma
OBT:000583	dairy farm
OBT:000320	immune cell
OBT:000808	pig farm
OBT:000326	inland water body
OBT:000199	aquatic eukaryotic species
OBT:000292	garden
OBT:000269	environment water
OBT:000465	vertebrate part
OBT:000332	lesion
OBT:000321	immune system
OBT:000205	bandage
OBT:000258	digestive system part
OBT:000341	medical outfit
OBT:000240	commodity and primary derivative thereof
OBT:000510	beef farm
OBT:000377	peritoneal cavity
OBT:000357	nervous system part
OBT:000268	enterocyte
OBT:000303	hatchery
OBT:000403	public building
OBT:000146	rural area
OBT:000340	meat and bone meal
OBT:000414	room
OBT:000527	bone meal
OBT:000522	blood meal
OBT:000631	fish meal
OBT:000667	high salt concentration environment
OBT:000726	meat meal
OBT:001871	animal neck
OBT:002362	berry as food
OBT:002066	grape and primary derivative thereof
OBT:002369	blueberry as food
OBT:002574	raspberry as food
OBT:002368	blackcurrant as food
OBT:002578	redcurrant as food
OBT:001784	spice
OBT:002182	pepper
OBT:000961	water treatment plant
OBT:003190	cinnamon
OBT:001983	cumin
OBT:002153	nutmeg
OBT:003201	ginger
OBT:002365	black pepper
OBT:000671	home heating system
OBT:000606	earth
OBT:000678	human body
OBT:002646	white pepper
OBT:000878	skin papule
OBT:000645	gingival crevice
OBT:000572	conjunctiva
OBT:000669	home drainage system
OBT:002541	oregano
OBT:002428	durian as food
OBT:000957	water from air and water system
OBT:000711	liquid food
OBT:000946	vertebrate
OBT:000955	water cooling system
OBT:000838	research and study center
OBT:000615	endometrium
OBT:000936	upper respiratory tract
OBT:000802	pharyngeal mucosa
OBT:000543	catfish pond
OBT:000903	surface soil
OBT:000780	osteolytic bone lesion
OBT:000471	Intestinal mucosal lesion
OBT:000862	seabed
OBT:000627	eye
OBT:000724	marine eukaryotic species
OBT:000587	deep periodontal lesion
OBT:000797	periodontal lesion
OBT:000934	ulcerative lesion
OBT:000761	necrotic lesion
OBT:000819	pneumonic lesion
OBT:000756	nasal epithelia
OBT:000755	nasal cavity
OBT:000767	nose
OBT:000568	combustible liquid
OBT:000646	gingival lesion
OBT:000794	paper pulp
OBT:000674	hot spring biomat
OBT:000875	skin
OBT:000688	insect part
OBT:000887	spinal cord
OBT:000792	paper
OBT:000641	gastrointestinal tract
OBT:000716	lung
OBT:000551	cervix
OBT:000945	vascular
OBT:000938	urethra
OBT:002257	soil with chemical property
OBT:002258	soil with physical property
OBT:000477	additive
OBT:000753	mussel farm
OBT:000630	fish farm
OBT:000659	harbor
OBT:000690	intertidal zone
OBT:000709	limestone
OBT:000847	rock scraping
OBT:000846	rock
OBT:000689	interstitial fluid
OBT:000717	lymph
OBT:000831	pus
OBT:000907	synovial fluid
OBT:000557	chyle
OBT:000550	cerebrospinal fluid
OBT:000949	vitreous humor
OBT:000818	pleural fluid
OBT:000558	chyme
OBT:000523	blood plasma
OBT:000604	ear wax
OBT:000495	aqueous humour
OBT:000514	bile
OBT:000622	excreta
OBT:000485	amniotic fluid
OBT:000521	blood
OBT:000931	trypanosome
OBT:000912	terrestrial plant
OBT:000898	subgingival biofilm
OBT:000590	dental biofilm
OBT:000694	invertebrate species
OBT:000911	terminal airway
OBT:000700	laboratory animal
OBT:000836	reef surface biofilm
OBT:000651	granite stone
OBT:000536	canker
OBT:000570	composite food
OBT:000538	caries
OBT:000746	mound
OBT:000757	nasopharynx
OBT:000561	coal
OBT:000592	desert
OBT:000565	coelom fluid
OBT:000662	heart valve
OBT:000608	ectomycorrhizal fungus
OBT:000638	gall bladder
OBT:000597	drinking water facility
OBT:000668	highly acid environment
OBT:000624	extractive industrial site
OBT:000548	cellulosic substrate
OBT:002718	hydrothermal vent
OBT:000596	domestic animal
OBT:000967	wild animal
OBT:000803	phenol
OBT:000691	intestinal content
OBT:000895	stomach content
OBT:000964	wetland
OBT:000812	plant nodule
OBT:000500	bacteriocyte
OBT:000952	vomit
OBT:000547	cellulose
OBT:002754	waste water
OBT:000586	dead wood
OBT:000853	sandstone
OBT:000625	extreme high temperature environment
OBT:000487	anaerobic dechlorinating bioreactor
OBT:000696	jungle
OBT:000483	alpine soil
OBT:000935	upland
OBT:000703	leafy soil
OBT:000747	mountain
OBT:000779	ornithogenic soil
OBT:000542	carrier
OBT:000950	volcanic soil
OBT:002551	permafrost
OBT:000571	compost
OBT:000593	desert soil
OBT:000919	throat swab
OBT:000588	deep sea
OBT:000904	surface water
OBT:001332	sponge
OBT:000470	Glomus vesiculiferum
OBT:000918	throat
OBT:000739	mid-vaginal wall
OBT:000901	sulfidogenic bioreactor
OBT:000759	natural gas
OBT:000947	veterinary drug
OBT:000519	bladder stone
OBT:000490	animal with age or sex property
OBT:000644	gill
OBT:000849	root part
OBT:000663	hemodialysis machine
OBT:000826	probe
OBT:000915	therapeutic ultrasound equipment
OBT:000864	sensor
OBT:000486	amoebas
OBT:000673	hospital hot water
OBT:000806	phylloplane
OBT:000969	woody landscape
OBT:000816	plant tissue
OBT:000768	noxious plant
OBT:000544	caulosphere
OBT:000540	carposphere
OBT:000493	anthosphere
OBT:000800	pest insect
OBT:000525	blood vessel
OBT:000626	extremely acid environment
OBT:000579	culture system
OBT:000602	ear
OBT:000603	ear canal
OBT:000782	outer ear
OBT:001324	soap
OBT:000740	middle ear
OBT:000971	zoo animal
OBT:000860	scratch
OBT:000843	road
OBT:000825	prepuce
OBT:000545	caulosphere part
OBT:000807	phylloplane part
OBT:002804	home plumbing
OBT:000494	anthosphere part
OBT:000783	ovary
OBT:000541	carposphere part
OBT:000939	urinary catheter
OBT:000655	growing plant
OBT:000815	plant product and primary derivative thereof
OBT:000775	open-ocean
OBT:000693	intravascular catheter
OBT:000941	urogenital tract
OBT:001212	mine waste
OBT:001158	industrial scrap
OBT:001062	dairy farming waste
OBT:001157	industrial organic waste
OBT:000664	hemolymph
OBT:000777	organic waste
OBT:000742	mineral oil
OBT:001327	solid agricultural waste
OBT:001148	horticultural waste
OBT:001172	landfill site waste
OBT:001181	liquid agricultural waste
OBT:000752	mushroom
OBT:000960	water transport structure
OBT:000488	anaerobic sludge blanket reactor
OBT:000917	thermophilic anaerobic methanogenic reactor
OBT:000900	sulfide-oxidizing bioreactor
OBT:000634	forest soil
OBT:000653	green forage
OBT:000720	maize feed
OBT:000569	common millet feed
OBT:000832	quinoa feed
OBT:000715	lucerne
OBT:000549	cereal flours feed
OBT:000633	food for particular diet
OBT:000851	rye feed
OBT:000842	rice feed
OBT:000965	wheat feed
OBT:000886	sorghum feed
OBT:000871	silage
OBT:000722	malt feed
OBT:000501	barley feed
OBT:000929	trona crust
OBT:000852	salt crust
OBT:000640	gastric acid
OBT:000799	peritoneal fluid
OBT:000743	mineral soil
OBT:000948	vitreous fluid
OBT:000680	humus soil
OBT:000516	biofertilizer
OBT:000679	humus
OBT:000533	bulk soil
OBT:000567	cold seep
OBT:000751	musculoskeletal system part
OBT:000913	testis
OBT:000833	rash
OBT:000766	nervous system
OBT:001225	municipal solid waste
OBT:002856	shower curtain
OBT:000857	savannah
OBT:000706	leukocyte
OBT:000621	excavation
OBT:000559	circulatory system
OBT:000737	microbial mat
OBT:000584	dairy starter culture
OBT:000930	tropical country
OBT:000639	garden soil
OBT:000855	sandy soil
OBT:000876	skin bump
OBT:000877	skin nodule
OBT:001620	litter
OBT:000683	industrial building
OBT:000845	road side
OBT:000479	air treatment unit
OBT:002719	hydrothermal vent chimney
OBT:000601	dune soil
OBT:000844	road junction
OBT:000741	milking machine
OBT:000534	bulk tank
OBT:000589	deep tissue
OBT:000581	cut
OBT:000863	secretion
OBT:001621	livestock barn
OBT:001485	chicken coop
OBT:000660	harvesting tool
OBT:000951	volcano
OBT:001949	chicken house
OBT:000546	cellar
OBT:000834	raw primary commodities
OBT:000854	sandstone monument
OBT:000637	freshwater aquarium
OBT:000993	ash dump
OBT:000925	toundra
OBT:000489	animal product and primary derivative thereof
OBT:000475	abrasion
OBT:000476	abscess
OBT:000970	wound
OBT:000529	broncho-pulmonary segment
OBT:000530	bronchus
OBT:000748	muddy water
OBT:000841	respiratory therapy equipment
OBT:000885	soil matter
OBT:000611	effluent
OBT:000704	lentic water
OBT:000940	urinary tract
OBT:000619	epithelial layer
OBT:000496	arthropod
OBT:000814	plant organ
OBT:000623	extra-uterus
OBT:000692	intra-uterus
OBT:000942	uterus
OBT:000497	atherosclerotic lesion
OBT:000684	industrial equipment
OBT:000874	site contaminated with organic compound
OBT:000413	rodent nest
OBT:000705	lentic water body
OBT:000713	lotic water body
OBT:000943	vagina
OBT:000932	tuberculoid granuloma
OBT:000562	coast
OBT:000723	mammalian part
OBT:000585	dead matter
OBT:000537	carcass
OBT:000505	bay
OBT:000484	alveolar epithelium
OBT:000927	tree part
OBT:000708	light organ
OBT:000933	ulcer
OBT:000719	lymphatic system
OBT:000790	pancreas
OBT:000515	biliary tract
OBT:000791	pancreatic duct
OBT:000642	gastrointestinal tract part
OBT:000729	medical mask
OBT:000727	medical bed sheet
OBT:000750	musculoskeletal system
OBT:000714	lower respiratory tract
OBT:000718	lymph node
OBT:000801	phagocyte
OBT:000760	necropolis
OBT:000924	tomb
OBT:000749	mural painting
OBT:001300	sea ice
OBT:000554	chapel
OBT:000730	membrane
OBT:000710	lining
OBT:000884	soil crust
OBT:000828	processed commodity and food
OBT:000883	soft tissue
OBT:000890	spleen
OBT:000526	bone fracture
OBT:000695	jail
OBT:000491	animal with disease
OBT:000573	cornea
OBT:000647	glial cell
OBT:000765	nerve
OBT:000687	inner ear
OBT:000937	ureter
OBT:000535	burn
OBT:000793	paper carton
OBT:000524	blood serum
OBT:000661	head kidney
OBT:000518	bladder
OBT:000731	meninges
OBT:000556	chest
OBT:000610	edible film
OBT:000811	placenta
OBT:000430	spoiled food
OBT:000702	latrine
OBT:000686	innate immune system
OBT:000613	embryonic structure
OBT:000612	egg part
OBT:000963	welfare center
OBT:000858	school
OBT:000773	office
OBT:000502	bathroom
OBT:000508	bedroom
OBT:000504	bathtub
OBT:000921	toilet bowl
OBT:000697	kitchen
OBT:000975	PCE contaminated site
OBT:001034	chlorine-contaminated site
OBT:001166	joint
OBT:001256	piping system
OBT:001248	peptic ulcer
OBT:002407	cool soil
OBT:001360	tree
OBT:001286	root cap
OBT:002862	sulfate-rich wastewater
OBT:001374	warm-blooded animal
OBT:001031	chemical plant
OBT:001042	college
OBT:001365	university
OBT:001276	raw milk
OBT:001308	sewage oxidation pond
OBT:001189	machinery
OBT:001192	male animal
OBT:001169	laboratory
OBT:002535	nutrient-poor soil
OBT:001185	lumber
OBT:001230	nematode
OBT:001161	infant formula
OBT:001167	kerosene
OBT:001067	dental abscess
OBT:001339	subcutaneous abscess-like lesion
OBT:001325	soft tissue abscess
OBT:001249	perineal abscess
OBT:001317	silt
OBT:001037	clay
OBT:001298	sawmill
OBT:001182	liver abscess
OBT:001227	nasal passage abscess
OBT:001250	periodontal abscess
OBT:001368	vaginal abscess
OBT:001151	human Bartholin abscess
OBT:001363	twig
OBT:001282	reptile
OBT:001046	cooling tower
OBT:002782	deep-sea hot vent
OBT:002783	deep-sea hydrothermal vent
OBT:001319	skeleton
OBT:001024	calcereous rock
OBT:001069	desert rock
OBT:001315	shoreline
OBT:002627	tropical soil
OBT:001133	granitic rock
OBT:001314	shore
OBT:001152	human appendix abscess
OBT:001220	mucus
OBT:001228	nasal secretion
OBT:001291	saliva
OBT:001302	sebum
OBT:001018	breast milk
OBT:001350	tears
OBT:001345	sweat
OBT:001208	milk and milk product
OBT:001201	meristem
OBT:001362	tuber
OBT:001021	bulbous plant
OBT:001320	skin ulcer
OBT:001618	lime soap
OBT:001135	grass plant
OBT:001257	plankton
OBT:001068	dental caries
OBT:001073	dish
OBT:001278	ready-to-eat meal
OBT:001323	snack
OBT:001091	epithelium
OBT:001195	marine coast
OBT:001039	coal spoil
OBT:001490	coal-cleaning residue
OBT:001269	probiotic food
OBT:001344	swamp
OBT:001328	soup
OBT:001162	ingredient for hot drink
OBT:001004	benzene-contaminated site
OBT:001305	self-heated organic material
OBT:000997	backwater
OBT:001351	teat
OBT:001497	concentrated food
OBT:001143	hindgut
OBT:001036	chocolate product
OBT:001247	pea family
OBT:001307	sewage
OBT:001210	mine
OBT:001211	mine drainage
OBT:001476	cattle dipping
OBT:001044	condiment
OBT:001078	drink
OBT:001045	confectionery
OBT:000998	bacteriome
OBT:001229	neck
OBT:001076	drainage canal
OBT:001075	drainage
OBT:001379	water of an humidifier
OBT:002784	deep-sea hydrothermal vent chimney
OBT:001370	vascular tissue
OBT:001217	mouth part
OBT:001056	creosol
OBT:001085	eel farm
OBT:001349	tank water
OBT:001262	posterior intestinal content
OBT:001334	sprout
OBT:001198	marsh
OBT:001237	oil well
OBT:002838	produced water
OBT:001259	plantlet
OBT:001104	fen
OBT:001290	saline wetland
OBT:001121	freshwater wetland
OBT:001102	feces
OBT:001303	sediment
OBT:001674	oil spill
OBT:001367	urine
OBT:001164	irrigation ditch
OBT:001077	drainage ditch
OBT:001033	chipboard factory
OBT:001173	leachate
OBT:001359	treated wood
OBT:000982	alfalfa silage
OBT:001190	maize silage
OBT:001284	rice silage
OBT:001200	meat and meat product
OBT:002788	drilling bore water
OBT:002638	water-stressed soil
OBT:002389	chemically stressed soil
OBT:001048	coral
OBT:001326	solfataric soil
OBT:001235	oil field
OBT:001057	crucifer
OBT:001293	sand
OBT:001103	female animal
OBT:001369	vaginal secretion
OBT:001124	furuncle fluid
OBT:001306	semen
OBT:001117	foregut
OBT:001128	gastric antrum
OBT:001111	food flavour
OBT:001592	heat-preserved food
OBT:001199	mashed food
OBT:001009	bog
OBT:001041	coastal wetland
OBT:001090	epidermis part
OBT:001127	gas seep
OBT:000976	Tasmanian devil
OBT:001159	industrial sludge
OBT:001179	leopard
OBT:001335	sputum
OBT:001175	leaf part
OBT:001287	root cortex part
OBT:001139	guar gum
OBT:001187	lynx
OBT:001336	stem part
OBT:001206	midge
OBT:001251	peripheral nervous system
OBT:001254	pet
OBT:001384	working animal
OBT:001381	water tank
OBT:001060	cuticle
OBT:001020	buccal
OBT:001309	sewage sludge
OBT:001242	panda
OBT:001292	salt-tolerant plant
OBT:001125	garden plant
OBT:001213	model plant
OBT:001123	fruit part
OBT:001106	flower part
OBT:001273	quarry
OBT:001193	mammary gland
OBT:001364	udder parenchyma
OBT:001304	seedling
OBT:001088	endodermis
OBT:001223	mudpit
OBT:001050	cortex
OBT:001226	muscle
OBT:001089	epidermis
OBT:001246	parenchyma
OBT:001299	sclerenchyma
OBT:001160	indwelling urinary catheter
OBT:001375	waste food compost
OBT:001511	dairy parlour waste
OBT:001558	food processing waste
OBT:000985	animal waste
OBT:000979	air conditioning system
